entity,code,pop2010,steel_kt,steel_src,elec_twh,elec_src,pc_steel_kg,pc_elec_kwh,s_mature,s_late,s_mid,s_start,category
Sudan,SDN,35414403.0,0.0,无产量(SSY2012未列),7.58,OWID-Ember2010,0.0,214.03720966297243,0.05350930241574311,0.07134573655432415,0.21403720966297243,0.42807441932594487,准备工业化国家
Canada,CAN,34196900.0,13013.0,worldsteel-SSY2012,607.03,OWID-Ember2010,380.53156865095957,17751.024215645277,5.389084975538718,7.185446634051624,21.55633990215487,43.11267980430974,后工业化国家
Morocco,MAR,32467009.0,485.0,worldsteel-SSY2012,22.85,OWID-Ember2010,14.938240846269517,703.7913470871308,0.2132934388874565,0.28439125184994196,0.853173755549826,1.706347511099652,准备工业化国家
Uganda,UGA,32390801.0,30.0,worldsteel-SSY2012,2.74,OWID-Ember2010,0.9261888892466722,84.59191855119606,0.023463451860915696,0.031284602481220926,0.09385380744366278,0.18770761488732557,准备工业化国家
Iraq,IRQ,31045367.0,0.0,无产量(SSY2012未列),48.91,OWID-Ember2010,0.0,1575.436360600923,0.3938590901502308,0.5251454535336411,1.5754363606009232,3.1508727212018464,工业化起步国家
Peru,PER,29086021.0,880.0,worldsteel-SSY2012,35.89,OWID-Ember2010,30.255083704986667,1233.9260842863312,0.38411923033404943,0.5121589737787327,1.5364769213361977,3.0729538426723955,工业化起步国家
Venezuela,VEN,28813101.0,2207.0,worldsteel-SSY2012,113.76,OWID-Ember2010,76.59710074247128,3948.203978461048,1.1785437464714401,1.5713916619619204,4.7141749858857604,9.428349971771521,工业化中期国家
Malaysia,MYS,28655772.0,5694.0,worldsteel-SSY2012,125.04,OWID-Ember2010,198.70342351970137,4363.518805216624,1.5876382601034096,2.1168510134712126,6.350553040413638,12.701106080827277,工业化中后期国家
Uzbekistan,UZB,28385509.0,716.0,worldsteel-SSY2012,51.97,OWID-Ember2010,25.22413813329893,1830.8637692563484,0.5207762876473344,0.6943683835297791,2.0831051505893377,4.166210301178675,工业化中期国家
Afghanistan,AFG,28284088.0,0.0,无产量(SSY2012未列),0.88,OWID-Ember2010,0.0,31.11289994572213,0.007778224986430533,0.010370966648574044,0.031112899945722132,0.062225799891444264,准备工业化国家
Nepal,NPL,27341955.0,0.0,无产量(SSY2012未列),3.18,OWID-Ember2010,0.0,116.30477776735424,0.02907619444183856,0.03876825925578475,0.11630477776735423,0.23260955553470847,准备工业化国家
Yemen,YEM,26754383.0,0.0,无产量(SSY2012未列),7.76,OWID-Ember2010,0.0,290.04593378213957,0.07251148344553489,0.09668197792737986,0.29004593378213955,0.5800918675642791,准备工业化国家
Ghana,GHA,25475000.0,25.0,worldsteel-SSY2012,10.12,OWID-Ember2010,0.9813542688910697,397.252208047105,0.10176643768400392,0.13568858357867192,0.4070657507360157,0.8141315014720314,准备工业化国家
Saudi Arabia,SAU,25157134.0,5015.0,worldsteel-SSY2012,248.77,OWID-Ember2010,199.3470321380806,9888.646298103751,2.9705291548711394,3.9607055398281856,11.882116619484558,23.764233238969116,成熟工业化国家
North Korea,PRK,24987257.0,250.0,worldsteel-SSY2012,23.57,OWID-Ember2010,10.005099799469786,943.2808090940114,0.2608329517721773,0.34777726902956974,1.0433318070887092,2.0866636141774184,工业化起步国家
Angola,AGO,23294822.0,0.0,无产量(SSY2012未列),5.46,OWID-Ember2010,0.0,234.38685215109177,0.058596713037772946,0.07812895071703059,0.23438685215109178,0.46877370430218357,准备工业化国家
Taiwan,TWN,23224049.0,19755.0,worldsteel-SSY2012,247.05,OWID-Ember2010,850.6268652808991,10637.679932556119,4.785987146341277,6.381316195121704,19.14394858536511,38.28789717073022,后工业化国家
Mozambique,MOZ,22999234.0,0.0,无产量(SSY2012未列),16.67,OWID-Ember2010,0.0,724.8067479116914,0.18120168697792285,0.24160224930389715,0.7248067479116914,1.4496134958233828,准备工业化国家
Cote d'Ivoire,CIV,22488068.0,0.0,无产量(SSY2012未列),5.95,OWID-Ember2010,0.0,264.5847566807429,0.06614618917018572,0.08819491889358096,0.2645847566807429,0.5291695133614858,准备工业化国家
Syria,SYR,22482417.0,70.0,worldsteel-SSY2012,46.44,OWID-Ember2010,3.1135442421515447,2065.614208650253,0.5241874127679421,0.6989165503572563,2.0967496510717685,4.193499302143537,工业化中期国家
Madagascar,MDG,22183343.0,0.0,无产量(SSY2012未列),1.3,OWID-Ember2010,0.0,58.6025289335336,0.0146506322333834,0.019534176311177865,0.0586025289335336,0.1172050578670672,准备工业化国家
Australia,AUS,22141583.0,7296.0,worldsteel-SSY2012,250.97,OWID-Ember2010,329.51573516672227,11334.781257509909,3.6574846522942828,4.876646203059044,14.629938609177131,29.259877218354262,后工业化国家
Sri Lanka,LKA,20879092.0,30.0,worldsteel-SSY2012,10.72,OWID-Ember2010,1.4368440926454082,513.4322891052925,0.13195018250793664,0.17593357667724888,0.5278007300317465,1.055601460063493,准备工业化国家
Romania,ROU,20432575.0,3721.0,worldsteel-SSY2012,60.42,OWID-Ember2010,182.1111631793839,2957.0428592578273,1.1945386227629167,1.5927181636838887,4.778154491051667,9.556308982103333,工业化中期国家
Cameroon,CMR,19668063.0,0.0,无产量(SSY2012未列),5.86,OWID-Ember2010,0.0,297.9449476036354,0.07448623690090884,0.09931498253454513,0.2979449476036354,0.5958898952072708,准备工业化国家
Chile,CHL,17181463.0,1011.0,worldsteel-SSY2012,60.25,OWID-Ember2010,58.842486230654515,3506.686246683417,1.0237777772474905,1.3650370363299873,4.095111108989962,8.190222217979924,工业化中期国家
Kazakhstan,KAZ,16836808.0,4220.0,worldsteel-SSY2012,82.65,OWID-Ember2010,250.64133296525088,4908.887717909475,1.853825261890496,2.4717670158539944,7.415301047561984,14.830602095123968,工业化中后期国家
Netherlands,NLD,16771232.0,6651.0,worldsteel-SSY2012,118.1,OWID-Ember2010,396.57193937809694,7041.820183514246,2.751884894323804,3.6691798590984055,11.007539577295216,22.01507915459043,后工业化国家
Niger,NER,16548833.0,0.0,无产量(SSY2012未列),0.29,OWID-Ember2010,0.0,17.523894283059114,0.004380973570764778,0.005841298094353038,0.017523894283059113,0.035047788566118225,准备工业化国家
Burkina Faso,BFA,16176503.0,0.0,无产量(SSY2012未列),0.58,OWID-Ember2010,0.0,35.85447361521832,0.00896361840380458,0.011951491205072773,0.03585447361521832,0.07170894723043664,准备工业化国家
Mali,MLI,15945201.0,0.0,无产量(SSY2012未列),2.36,OWID-Ember2010,0.0,148.00691443149572,0.03700172860787393,0.049335638143831906,0.14800691443149572,0.29601382886299143,准备工业化国家
Ecuador,ECU,15076697.0,372.0,worldsteel-SSY2012,19.42,OWID-Ember2010,24.673839369458708,1288.0805391260433,0.3837047332051576,0.5116063109402101,1.5348189328206303,3.0696378656412606,工业化起步国家
Malawi,MWI,14826466.0,0.0,无产量(SSY2012未列),1.92,OWID-Ember2010,0.0,129.49815552809414,0.03237453888202354,0.04316605184269805,0.12949815552809416,0.2589963110561883,准备工业化国家
Cambodia,KHM,14500730.0,0.0,无产量(SSY2012未列),0.97,OWID-Ember2010,0.0,66.89318399832284,0.01672329599958071,0.022297727999440946,0.06689318399832284,0.13378636799664567,准备工业化国家
Guatemala,GTM,14500118.0,274.0,worldsteel-SSY2012,8.84,OWID-Ember2010,18.896397946554643,609.6502111224198,0.19965354764699156,0.2662047301959888,0.7986141905879662,1.5972283811759325,准备工业化国家
Zambia,ZMB,13965592.0,0.0,无产量(SSY2012未列),10.45,OWID-Ember2010,0.0,748.2675993971469,0.18706689984928673,0.2494225331323823,0.7482675993971469,1.4965351987942939,准备工业化国家
Zimbabwe,ZWE,13356551.0,0.0,无产量(SSY2012未列),8.64,OWID-Ember2010,0.0,646.8735828583292,0.1617183957145823,0.21562452761944306,0.6468735828583292,1.2937471657166584,准备工业化国家
Senegal,SEN,12635418.0,0.0,无产量(SSY2012未列),3.23,OWID-Ember2010,0.0,255.63064079083097,0.06390766019770774,0.08521021359694365,0.255630640790831,0.511261281581662,准备工业化国家
Chad,TCD,12312580.0,0.0,无产量(SSY2012未列),0.19,OWID-Ember2010,0.0,15.431371816467385,0.003857842954116846,0.005143790605489128,0.015431371816467384,0.03086274363293477,准备工业化国家
Somalia,SOM,12261761.0,0.0,无产量(SSY2012未列),0.33,OWID-Ember2010,0.0,26.912936893811583,0.0067282342234528955,0.008970978964603861,0.026912936893811582,0.053825873787623164,准备工业化国家
Cuba,CUB,11297414.0,278.0,worldsteel-SSY2012,17.4,OWID-Ember2010,24.607401304404707,1540.17547732605,0.4465623725925243,0.5954164967900324,1.7862494903700972,3.5724989807401943,工业化起步国家
Greece,GRC,11124666.0,1821.0,worldsteel-SSY2012,56.61,OWID-Ember2010,163.69030764609022,5088.692100958357,1.6813987943548145,2.241865059139753,6.725595177419258,13.451190354838516,后工业化国家
