entity,code,pop2024,steel_kt,steel_src,elec_twh,elec_src,pc_steel_kg,pc_elec_kwh,s_mature,s_late,s_mid,s_start,category
Algeria,DZA,46814302.0,4500.0,worldsteel2024,96.36,OWID2024,96.1244706799217,2058.34533215939,0.7548975097396519,1.0065300129862025,3.0195900389586074,6.039180077917215,工业化中期国家
Iraq,IRQ,46042015.0,3000.0,worldsteel2024,149.73,OWID2024,65.15787808157397,3252.029695051357,0.9759021189667743,1.3012028252890322,3.903608475867097,7.807216951734194,工业化中期国家
Argentina,ARG,45696153.0,3900.0,worldsteel2024,152.51,OWID2024,85.34635289758418,3337.4800719001446,1.0477359002189965,1.3969812002919955,4.190943600875986,8.381887201751972,工业化中期国家
Afghanistan,AFG,42647502.0,0.0,无产量(两源均无),0.99,OWID2024,0.0,23.213551874620933,0.005803387968655233,0.007737850624873644,0.023213551874620934,0.04642710374924187,准备工业化国家
Yemen,YEM,40583173.0,0.0,无产量(两源均无),5.25,OWID2024,0.0,129.3639607726089,0.03234099019315222,0.043121320257536296,0.1293639607726089,0.2587279215452178,准备工业化国家
Canada,CAN,39742429.0,12300.0,worldsteel2024,636.79,OWID2024,309.4929099577683,16022.926026992462,4.779463781642536,6.372618375523382,19.117855126570145,38.23571025314029,后工业化国家
Poland,POL,38539209.0,7100.0,worldsteel2024,172.12,OWID2024,184.22796378617943,4466.101003785521,1.5770951604118288,2.102793547215772,6.308380641647315,12.61676128329463,工业化中后期国家
Morocco,MAR,38081176.0,1400.0,worldsteel2024,42.4,OWID2024,36.763570536792244,1113.4109933999937,0.370261674691979,0.4936822329226387,1.481046698767916,2.962093397535832,工业化起步国家
Angola,AGO,37885854.0,285.0,BGS 2024,15.59,OWID2024,7.522596692686405,411.4992366280037,0.12168130088871694,0.16224173451828924,0.48672520355486776,0.9734504071097355,准备工业化国家
Ukraine,UKR,37860221.0,7600.0,worldsteel2024,96.9,EIA2024,200.7383950558556,2559.4145369621588,1.1416996218801785,1.522266162506905,4.566798487520714,9.133596975041428,工业化中期国家
Uzbekistan,UZB,36361859.0,1000.0,worldsteel2024,81.5,OWID2024,27.501344196950985,2241.3595520515055,0.6290932485052538,0.8387909980070051,2.5163729940210153,5.032745988042031,工业化中期国家
Malaysia,MYS,35557670.0,9000.0,worldsteel2024,198.12,OWID2024,253.10994786778772,5571.793652396234,2.025723282768528,2.700964377024704,8.102893131074111,16.205786262148223,成熟工业化国家
Mozambique,MOZ,34631767.0,0.0,无产量(两源均无),19.79,OWID2024,0.0,571.4406660220369,0.14286016650550923,0.19048022200734563,0.5714406660220369,1.1428813320440738,准备工业化国家
Ghana,GHA,34427417.0,245.0,BGS 2024,24.27,OWID2024,7.1164211941895035,704.9613974815479,0.19403140235586075,0.258708536474481,0.776125609423443,1.552251218846886,准备工业化国家
Peru,PER,34217850.0,1600.0,worldsteel2024,59.29,OWID2024,46.75922069913802,1732.7213720324335,0.5500783947559534,0.7334378596746045,2.2003135790238137,4.4006271580476275,工业化中期国家
Saudi Arabia,SAU,33962751.0,9600.0,worldsteel2024,454.64,OWID2024,282.66261469808495,13386.430327743474,4.0532641186810805,5.404352158241441,16.213056474724322,32.426112949448644,成熟工业化国家
Madagascar,MDG,31964960.0,0.0,无产量(两源均无),2.43,OWID2024,0.0,76.02074271327103,0.019005185678317757,0.025340247571090345,0.07602074271327103,0.15204148542654206,准备工业化国家
Cote d'Ivoire,CIV,31934229.0,0.0,无产量(两源均无),10.79,OWID2024,0.0,337.88196358208614,0.08447049089552154,0.11262732119402871,0.33788196358208616,0.6757639271641723,准备工业化国家
Nepal,NPL,29651054.0,0.0,无产量(两源均无),11.13,OWID2024,0.0,375.366083107872,0.093841520776968,0.12512202770262398,0.375366083107872,0.750732166215744,准备工业化国家
Cameroon,CMR,29123748.0,0.0,无产量(两源均无),7.26,OWID2024,0.0,249.28110214385867,0.06232027553596467,0.08309370071461956,0.24928110214385868,0.49856220428771736,准备工业化国家
Venezuela,VEN,28405544.0,28.8,BGS 2024,80.13,OWID2024,1.0138865849567957,2820.928196270418,0.7077667655299965,0.943689020706662,2.831067062119986,5.662134124239972,工业化中期国家
Niger,NER,27032417.0,0.0,无产量(两源均无),0.95,OWID2024,0.0,35.14299146835446,0.008785747867088614,0.011714330489451487,0.03514299146835446,0.07028598293670892,准备工业化国家
Australia,AUS,26713206.0,4700.0,worldsteel2024,281.64,OWID2024,175.94293998256893,10543.099918444832,3.07563232956763,4.100843106090174,12.30252931827052,24.60505863654104,后工业化国家
North Korea,PRK,26498832.0,350.0,BGS 2024 est (worldsteel表只到2012),27.1,OWID2024,13.208129324341542,1022.6865848275879,0.28869196951775083,0.3849226260236678,1.1547678780710033,2.3095357561420067,工业化起步国家
Syria,SYR,24672758.0,5.0,BGS 2021 est (2022+无),24.88,OWID2024,0.20265265845026323,1008.3996284485099,0.2526065387582531,0.3368087183443375,1.0104261550330125,2.020852310066025,工业化起步国家
Mali,MLI,24478597.0,0.0,无产量(两源均无),5.96,OWID2024,0.0,243.47800652137047,0.06086950163034262,0.0811593355071235,0.24347800652137047,0.48695601304274094,准备工业化国家
Burkina Faso,BFA,23548782.0,0.0,无产量(两源均无),1.69,OWID2024,0.0,71.76591978302741,0.017941479945756855,0.023921973261009137,0.07176591978302742,0.14353183956605484,准备工业化国家
Taiwan,TWN,23213964.0,19200.0,worldsteel2024,288.56,OWID2024,827.088385249499,12430.449189978928,5.17533326061848,6.900444347491305,20.70133304247392,41.40266608494784,后工业化国家
Sri Lanka,LKA,23103561.0,30.0,BGS 2024 est,17.07,OWID2024,1.2985011271639035,738.8471413562611,0.18795803815697504,0.25061071754263337,0.7518321526279002,1.5036643052558003,准备工业化国家
Malawi,MWI,21655288.0,0.0,无产量(两源均无),1.83,OWID2024,0.0,84.50591836968411,0.02112647959242103,0.02816863945656137,0.08450591836968412,0.16901183673936823,准备工业化国家
Zambia,ZMB,21314962.0,0.0,无产量(两源均无),19.72,OWID2024,0.0,925.171717406768,0.23129292935169202,0.30839057246892265,0.9251717174067681,1.8503434348135361,准备工业化国家
Kazakhstan,KAZ,20592574.0,4200.0,worldsteel2024,118.51,OWID2024,203.95701868061758,5754.987210438093,1.9486393493110672,2.5981857990814228,7.794557397244269,15.589114794488538,工业化中后期国家
Chad,TCD,20299131.0,0.0,无产量(两源均无),0.37,OWID2024,0.0,18.227381260803725,0.004556845315200931,0.006075793753601242,0.018227381260803723,0.036454762521607446,准备工业化国家
Chile,CHL,19764774.0,800.0,worldsteel2024,88.62,OWID2024,40.47605097837192,4483.73454712915,1.2221237642282174,1.6294983523042896,4.88849505691287,9.77699011382574,工业化中期国家
Romania,ROU,19015096.0,1400.0,worldsteel2024,52.72,OWID2024,73.62571295985043,2772.533990888082,0.8771977801216466,1.1695970401621953,3.5087911204865865,7.017582240973173,工业化中期国家
Somalia,SOM,19009155.0,0.0,无产量(两源均无),0.43,OWID2024,0.0,22.62067935160716,0.0056551698379017894,0.0075402264505357195,0.022620679351607158,0.045241358703214316,准备工业化国家
Senegal,SEN,18501988.0,0.0,无产量(两源均无),7.63,OWID2024,0.0,412.38811742824606,0.10309702935706151,0.13746270580941536,0.41238811742824605,0.8247762348564921,准备工业化国家
Guatemala,GTM,18406366.0,249.5,BGS 2024,15.79,OWID2024,13.555092841248511,857.8553746024609,0.2483515757537365,0.3311354343383153,0.993406303014946,1.986812606029892,准备工业化国家
Netherlands,NLD,18228740.0,6400.0,worldsteel2024,122.33,OWID2024,351.09393188997154,6710.831357515659,2.5554426691038437,3.407256892138458,10.221770676415375,20.44354135283075,后工业化国家
Ecuador,ECU,18135478.0,492.6,BGS 2024,32.66,OWID2024,27.162228643766653,1800.889946214817,0.5181280581631209,0.6908374108841612,2.0725122326524836,4.145024465304967,工业化中期国家
Cambodia,KHM,17638804.0,0.0,无产量(两源均无),15.48,OWID2024,0.0,877.6105227996184,0.2194026306999046,0.29253684093320614,0.8776105227996184,1.7552210455992368,准备工业化国家
Zimbabwe,ZWE,16634366.0,60.0,BGS 2024 est,10.26,OWID2024,3.6069904918528306,616.7953741068341,0.1632163197563406,0.2176217596751208,0.6528652790253624,1.3057305580507248,准备工业化国家
Guinea,GIN,14754779.0,0.0,无产量(两源均无),4.03,OWID2024,0.0,273.13184426550885,0.06828296106637721,0.09104394808850295,0.27313184426550885,0.5462636885310177,准备工业化国家
Benin,BEN,14462721.0,0.0,无产量(两源均无),1.01,OWID2024,0.0,69.83471505811389,0.01745867876452847,0.02327823835270463,0.06983471505811388,0.13966943011622776,准备工业化国家
Rwanda,RWA,14256573.0,0.0,无产量(两源均无),1.13,OWID2024,0.0,79.2616851188571,0.019815421279714276,0.026420561706285702,0.0792616851188571,0.1585233702377142,准备工业化国家
Burundi,BDI,14047788.0,0.0,无产量(两源均无),0.49,OWID2024,0.0,34.88093641504271,0.008720234103760677,0.011626978805014237,0.03488093641504271,0.06976187283008542,准备工业化国家
Bolivia,BOL,12413318.0,0.0,无产量(两源均无),13.53,OWID2024,0.0,1089.9583817960677,0.2724895954490169,0.36331946059868925,1.0899583817960676,2.1799167635921353,工业化起步国家
Tunisia,TUN,12277103.0,60.0,BGS 2024,21.37,OWID2024,4.88714642208345,1740.6386506653892,0.44737752872155595,0.5965033716287412,1.7895101148862238,3.5790202297724476,工业化起步国家
South Sudan,SSD,11943410.0,0.0,无产量(两源均无),0.56,OWID2024,0.0,46.88778163020444,0.011721945407551108,0.01562926054340148,0.046887781630204434,0.09377556326040887,准备工业化国家
Haiti,HTI,11772562.0,0.0,无产量(两源均无),0.86,OWID2024,0.0,73.05121858776364,0.01826280464694091,0.024350406195921215,0.07305121858776364,0.1461024371755273,准备工业化国家
Belgium,BEL,11738761.0,7100.0,worldsteel2024,76.01,OWID2024,604.8338491600604,6475.129700655802,3.1308670480641014,4.174489397418801,12.523468192256406,25.04693638451281,后工业化国家
