code,entity,pop2040,cat2024,cat2040,promoted
IND,India,1622580046.0,工业化中期国家,工业化中后期国家,True
CHN,China,1342816657.0,成熟工业化国家,后工业化国家,True
USA,United States,370209315.0,后工业化国家,后工业化国家,False
PAK,Pakistan,324937698.0,准备工业化国家,工业化起步国家,True
NGA,Nigeria,312710408.0,准备工业化国家,工业化起步国家,True
IDN,Indonesia,311797396.0,工业化起步国家,工业化中期国家,True
BRA,Brazil,219237077.0,工业化中期国家,成熟工业化国家,True
BGD,Bangladesh,202589427.0,准备工业化国家,工业化起步国家,True
ETH,Ethiopia,188450905.0,准备工业化国家,准备工业化国家,False
COD,Democratic Republic of Congo,172595578.0,准备工业化国家,准备工业化国家,False
EGY,Egypt,145213660.0,工业化中期国家,工业化中期国家,False
MEX,Mexico,144624325.0,工业化中期国家,工业化中后期国家,True
RUS,Russia,138281831.0,成熟工业化国家,成熟工业化国家,False
PHL,Philippines,129546656.0,工业化起步国家,工业化中期国家,True
JPN,Japan,112158303.0,后工业化国家,后工业化国家,False
VNM,Vietnam,108437633.0,工业化中期国家,成熟工业化国家,True
TZA,Tanzania,103999357.0,准备工业化国家,工业化起步国家,True
IRN,Iran,99524284.0,工业化中后期国家,成熟工业化国家,True
TUR,Turkey,91009680.0,成熟工业化国家,成熟工业化国家,False
DEU,Germany,80551735.0,后工业化国家,后工业化国家,False
KEN,Kenya,74108861.0,准备工业化国家,工业化起步国家,True
ZAF,South Africa,74035616.0,工业化中期国家,工业化中后期国家,True
GBR,United Kingdom,73774627.0,后工业化国家,后工业化国家,False
UGA,Uganda,72020413.0,准备工业化国家,工业化起步国家,True
SDN,Sudan,71730602.0,准备工业化国家,准备工业化国家,False
THA,Thailand,69535004.0,工业化中期国家,工业化中后期国家,True
FRA,France,67938905.0,后工业化国家,后工业化国家,False
AFG,Afghanistan,63347877.0,准备工业化国家,准备工业化国家,False
IRQ,Iraq,62223206.0,工业化中期国家,工业化中后期国家,True
YEM,Yemen,59181529.0,准备工业化国家,准备工业化国家,False
AGO,Angola,58965326.0,准备工业化国家,工业化起步国家,True
COL,Colombia,58576448.0,工业化起步国家,工业化中期国家,True
MMR,Myanmar,58169858.0,准备工业化国家,工业化起步国家,True
ITA,Italy,55221170.0,后工业化国家,后工业化国家,False
DZA,Algeria,54873474.0,工业化中期国家,工业化中期国家,False
MOZ,Mozambique,52124219.0,准备工业化国家,工业化起步国家,True
KOR,South Korea,48948683.0,后工业化国家,后工业化国家,False
ARG,Argentina,47817642.0,工业化中期国家,工业化中期国家,False
ESP,Spain,46591674.0,后工业化国家,后工业化国家,False
UZB,Uzbekistan,46044154.0,工业化中期国家,工业化中期国家,True
CIV,Cote d'Ivoire,45743920.0,准备工业化国家,工业化起步国家,True
MDG,Madagascar,44846897.0,准备工业化国家,准备工业化国家,False
GHA,Ghana,44568352.0,准备工业化国家,工业化起步国家,True
CAN,Canada,43951420.0,后工业化国家,后工业化国家,False
SAU,Saudi Arabia,42592198.0,成熟工业化国家,成熟工业化国家,False
NER,Niger,42316741.0,准备工业化国家,准备工业化国家,False
CMR,Cameroon,42208006.0,准备工业化国家,准备工业化国家,False
MAR,Morocco,42168206.0,工业化起步国家,工业化中期国家,True
MYS,Malaysia,41509643.0,成熟工业化国家,成熟工业化国家,False
PER,Peru,38794649.0,工业化中期国家,工业化中期国家,False
MLI,Mali,37413644.0,准备工业化国家,准备工业化国家,False
UKR,Ukraine,35270912.0,工业化中期国家,成熟工业化国家,True
POL,Poland,35179552.0,工业化中后期国家,后工业化国家,True
SYR,Syria,34533183.0,工业化起步国家,工业化起步国家,False
NPL,Nepal,32909540.0,准备工业化国家,工业化起步国家,True
BFA,Burkina Faso,32193646.0,准备工业化国家,准备工业化国家,False
ZMB,Zambia,31550405.0,准备工业化国家,工业化起步国家,True
TCD,Chad,31307342.0,准备工业化国家,准备工业化国家,False
MWI,Malawi,31302096.0,准备工业化国家,准备工业化国家,False
VEN,Venezuela,30495446.0,工业化中期国家,工业化中期国家,False
AUS,Australia,30357454.0,后工业化国家,后工业化国家,False
SOM,Somalia,29896296.0,准备工业化国家,准备工业化国家,False
PRK,North Korea,26542427.0,工业化起步国家,工业化起步国家,False
SEN,Senegal,25797513.0,准备工业化国家,工业化起步国家,True
LKA,Sri Lanka,24526699.0,准备工业化国家,工业化起步国家,True
