code,entity,pop2040,cat2024,cat2040,promoted
KAZ,Kazakhstan,24246827.0,工业化中后期国家,成熟工业化国家,True
GTM,Guatemala,22626869.0,准备工业化国家,工业化起步国家,True
ZWE,Zimbabwe,22250113.0,准备工业化国家,工业化起步国家,True
TWN,Taiwan,21257133.0,后工业化国家,后工业化国家,False
CHL,Chile,20542099.0,工业化中期国家,成熟工业化国家,True
KHM,Cambodia,20540682.0,准备工业化国家,工业化起步国家,True
BEN,Benin,20445762.0,准备工业化国家,准备工业化国家,False
ECU,Ecuador,20434223.0,工业化中期国家,工业化中期国家,False
GIN,Guinea,20160744.0,准备工业化国家,工业化起步国家,True
BDI,Burundi,20131320.0,准备工业化国家,准备工业化国家,False
RWA,Rwanda,19440770.0,准备工业化国家,工业化起步国家,True
NLD,Netherlands,19062981.0,后工业化国家,后工业化国家,False
ROU,Romania,17209716.0,工业化中期国家,成熟工业化国家,True
SSD,South Sudan,16101476.0,准备工业化国家,准备工业化国家,False
BOL,Bolivia,14899398.0,工业化起步国家,工业化起步国家,False
JOR,Jordan,14471300.0,工业化中期国家,工业化中期国家,False
HTI,Haiti,13733843.0,准备工业化国家,准备工业化国家,False
TJK,Tajikistan,13713950.0,工业化中期国家,工业化中期国家,False
ARE,United Arab Emirates,13693783.0,成熟工业化国家,成熟工业化国家,False
HND,Honduras,13484652.0,工业化起步国家,工业化起步国家,False
PNG,Papua New Guinea,13376163.0,准备工业化国家,准备工业化国家,False
TUN,Tunisia,12953866.0,工业化起步国家,工业化中期国家,True
DOM,Dominican Republic,12579323.0,工业化中期国家,工业化中期国家,False
BEL,Belgium,11892204.0,后工业化国家,后工业化国家,False
ISR,Israel,11581473.0,后工业化国家,后工业化国家,False
AZE,Azerbaijan,11081342.0,工业化中期国家,工业化中期国家,False
SWE,Sweden,11078605.0,后工业化国家,后工业化国家,False
CUB,Cuba,10125837.0,工业化起步国家,工业化起步国家,False
CZE,Czechia,10107227.0,后工业化国家,后工业化国家,False
PRT,Portugal,10082263.0,后工业化国家,后工业化国家,False
GRC,Greece,9275616.0,后工业化国家,后工业化国家,False
HUN,HUN,9067620.0,其他人口不足1000万国家,后工业化国家,True
BGR,BGR,5907731.0,其他人口不足1000万国家,后工业化国家,True
NAM,NAM,3962411.0,其他人口不足1000万国家,工业化起步国家,True
BWA,BWA,3126644.0,其他人口不足1000万国家,工业化起步国家,True
