wiki_name,annual_nom,annual_ppp,workweek,eff
North Macedonia,2418.0,5627.0,40.0,1 Apr 2021
Northern Cyprus,,,40.0,1 Jan 2024
Norway,,,37.5,2014
Oman,10263.0,21445.0,45.0,1 July 2013
Pakistan,2762.0,6881.0,48.0,1 June 2026
Palau,6240.0,6478.0,40.0,1 Oct 2014
Palestine,6985.0,,45.0,2022
Panama,3819.0,7688.0,48.0,1 Jan 2018
Papua New Guinea,2086.0,2651.0,44.0,1 Aug 2014
Paraguay,4957.0,11682.0,48.0,1 July 2024
Peru,3495.0,7037.0,48.0,1 June 2022
Philippines,3405.0,8167.0,40.0,18 July 2025
Poland,14941.0,27953.0,40.0,1 Jan 2026
Portugal,11638.0,17122.0,40.0,1 Jan 2024
Qatar,,,48.0,2025
Romania,11683.0,22288.0,40.0,1 Jan 2025
Russia,4414.0,,40.0,1 Jan 2026
Rwanda,,,45.0,2013
Saint Kitts and Nevis,6933.0,,40.0,1 Nov 2014
Saint Lucia,,,40.0,2013
Saint Vincent and the Grenadines,2407.0,,40.0,1 July 2008
Samoa,1625.0,2211.0,40.0,2012
San Marino,21310.0,24481.0,37.5,1 Jan 2017
São Tomé and Príncipe,1740.0,,,2025
Saudi Arabia,12800.0,25653.0,48.0,2 Feb 2013
Senegal,686.0,1680.0,40.0,1 Jan 1996
Serbia,3610.0,6780.0,40.0,1 Jan 2022
Seychelles,3282.0,6572.0,40.0,1 Jan 2014
Sierra Leone,575.0,866347.0,40.0,1 Jan 2015
Singapore,,,44.0,2019
Slovakia,9914.0,,40.0,1 Jan 2023
Slovenia,17079.0,24359.0,40.0,1 Jan 2023
Solomon Islands,933.0,979.0,45.0,1 May 2008
Somalia,,,48.0,2013
South Africa,4786.0,9139.0,45.0,1 Mar 2026
South Sudan,,,,2011
Spain,17457.0,24282.0,40.0,1 Jan 2023
Sri Lanka,1629.0,3993.0,48.0,1 April 2025
Sudan,13.0,,40.0,2013
Suriname,5983.0,6983.0,40.0,1 April 2025
Sweden,,,40.0,2017
Switzerland,,,41.7,2014
Syria,96.0,2850.0,40.0,2013
Taiwan,11973.0,23432.0,40.0,1 Jan 2026
Tajikistan,1061.0,,40.0,1 Sep 2025
Tanzania,209.0,726.0,45.0,1 July 2013
Thailand,3733.0,11257.0,48.0,1 Jan 2023
Timor-Leste,1380.0,3097.0,44.0,22 June 2012
Togo,757.0,1923.0,40.0,1 Jan 2012
Tonga,,,40.0,2013
Trinidad and Tobago,4615.0,8123.0,40.0,1 Jan 2015
Tunisia,2000.0,5692.0,48.0,2020
Tuvalu,,,,2013
Uganda,426.0,1167.0,40.0,1 July 2017
Ukraine,3802.0,8746.0,40.0,1 Jan 2026
United Arab Emirates,,,48.0,4 April 2025
United Kingdom,36215.0,37685.0,40.0,1 Apr 2025
United States,15080.0,15080.0,40.0,1 Jan 2025
Uruguay,6136.0,8950.0,48.0,2024
Uzbekistan,1041.0,3090.0,40.0,1 June 2022
Vanuatu,3240.0,2893.0,40.0,20 Aug 2012
Venezuela,10.32,,,1 May 2020
Vietnam,2751.0,,40.0,1 Jan 2026
Yemen,,,48.0,2013
Zambia,596.0,1421.0,48.0,10 Sep 2018
Zimbabwe,,,,2012
