entity,code,pop1995,steel_kt,steel_src,elec_twh,elec_src,pc_steel_kg,pc_elec_kwh,s_mature,s_late,s_mid,s_start,category
China,CHN,1220133929.0,95360.0,worldsteel-SSY2003,956.091,EIA-IEA2005,78.15535469795135,783.595126137993,0.3912871682793766,0.5217162243725022,1.5651486731175064,3.1302973462350128,工业化起步国家
India,IND,960301046.0,22003.0,worldsteel-SSY2003,396.015,EIA-IEA2005,22.912606511937508,412.3863049504582,0.16037809251745833,0.21383745668994442,0.6415123700698333,1.2830247401396666,准备工业化国家
United States,USA,268205796.0,95191.0,worldsteel-SSY2003,3356.21249,EIA-IEA2005,354.9177587497028,12513.571817068412,4.01568735114136,5.354249801521813,16.06274940456544,32.12549880913088,成熟工业化国家
Indonesia,IDN,199888055.0,4130.0,worldsteel-SSY2003,56.841,EIA-IEA2005,20.66156479435452,284.36416573266473,0.12274495341905248,0.16365993789206998,0.4909798136762099,0.9819596273524198,准备工业化国家
Brazil,BRA,161735079.0,25076.0,worldsteel-SSY2003,271.78721,EIA-IEA2005,155.0436686651014,1680.4468868500694,0.8077208933752709,1.0769611911670278,3.2308835735010835,6.461767147002167,工业化中期国家
Russia,RUS,148291406.0,51589.0,worldsteel-SSY2003,817.304,EIA-IEA2005,347.88934430900196,5511.472458491627,2.2475914753954114,2.9967886338605485,8.990365901581646,17.98073180316329,成熟工业化国家
Pakistan,PAK,134582255.0,950.0,worldsteel-SSY2003,51.846582,EIA-IEA2005,7.058880087868939,385.24084768827805,0.11395741214174186,0.15194321618898915,0.45582964856696745,0.9116592971339349,准备工业化国家
Japan,JPN,125672659.0,101640.0,worldsteel-SSY2003,942.1613,EIA-IEA2005,808.7678004807713,7496.947287476427,3.8961563230710348,5.194875097428047,15.584625292284139,31.169250584568278,成熟工业化国家
Bangladesh,BGD,122600372.0,36.0,worldsteel-SSY2003,10.412,EIA-IEA2005,0.29363695568558307,84.92633284995253,0.02196567560170209,0.02928756746893612,0.08786270240680837,0.17572540481361673,准备工业化国家
Nigeria,NGA,110819430.0,36.0,worldsteel-SSY2003,13.889,EIA-IEA2005,0.3248527807804101,125.33000756275321,0.032144633842639325,0.04285951179018577,0.1285785353705573,0.2571570707411146,准备工业化国家
Mexico,MEX,90862449.0,12147.0,worldsteel-SSY2003,144.9137,EIA-IEA2005,133.6855888619071,1594.8689650660858,0.7329312134212892,0.9772416178950523,2.931724853685157,5.863449707370314,工业化中期国家
Germany,DEU,82019890.0,42051.0,worldsteel-SSY2003,503.932,EIA-IEA2005,512.6927139258538,6144.021895176889,2.817737258608857,3.756983011478476,11.270949034435429,22.541898068870857,成熟工业化国家
Vietnam,VNM,72049945.0,271.0,worldsteel-SSY2003,14.314,EIA-IEA2005,3.761279762253809,198.66774360480082,0.05907013530683473,0.07876018040911296,0.2362805412273389,0.4725610824546778,准备工业化国家
Philippines,PHL,70546245.0,923.0,worldsteel-SSY2003,31.913,EIA-IEA2005,13.08361628602628,452.3699312415565,0.14580152352545483,0.1944020313672731,0.5832060941018193,1.1664121882036387,准备工业化国家
Egypt,EGY,65652621.0,2642.0,worldsteel-SSY2003,52.681,EIA-IEA2005,40.2421100598558,802.4203633850353,0.30121036599589834,0.4016138213278644,1.2048414639835934,2.4096829279671867,工业化起步国家
Iran,IRN,62205571.0,4696.0,worldsteel-SSY2003,76.105,EIA-IEA2005,75.49163080586465,1223.443475826305,0.49458994597123784,0.6594532612949838,1.9783597838849514,3.9567195677699027,工业化起步国家
Turkey,TUR,61024501.0,13183.0,worldsteel-SSY2003,82.8527,EIA-IEA2005,216.02798521859276,1357.6956573557234,0.8794938773854127,1.1726585031805503,3.517975509541651,7.035951019083302,工业化中期国家
Thailand,THA,59098231.0,2134.0,worldsteel-SSY2003,75.58399999999999,EIA-IEA2005,36.10937186935426,1278.9553717775407,0.4100122726177708,0.5466830301570278,1.6400490904710832,3.2800981809421663,工业化起步国家
France,FRA,58192207.0,18100.0,worldsteel-SSY2003,469.0135,EIA-IEA2005,311.03821169731543,8059.730403419826,2.792528130098245,3.7233708401309933,11.17011252039298,22.34022504078596,成熟工业化国家
United Kingdom,GBR,58154632.0,17604.0,worldsteel-SSY2003,308.24045,EIA-IEA2005,302.71019512254844,5300.359393556131,2.0818653361954036,2.7758204482605384,8.327461344781614,16.65492268956323,成熟工业化国家
Ethiopia,ETH,57537340.0,0.0,无产量(SSY2003未列),1.507,EIA-IEA2005,0.0,26.191686998390956,0.006547921749597739,0.008730562332796985,0.026191686998390955,0.05238337399678191,准备工业化国家
Italy,ITA,57403342.0,27766.0,worldsteel-SSY2003,225.05330000000004,EIA-IEA2005,483.70006052957683,3920.5609318008005,2.1893903842741422,2.91918717903219,8.757561537096569,17.515123074193138,成熟工业化国家
Ukraine,UKR,51665535.0,22309.0,worldsteel-SSY2003,183.372,EIA-IEA2005,431.79655451162944,3549.213223089628,1.9667946920514807,2.6223929227353073,7.867178768205923,15.734357536411846,工业化中后期国家
South Korea,KOR,45368425.0,36772.0,worldsteel-SSY2003,189.82888,EIA-IEA2005,810.5196510568749,4184.162884208566,3.0723398486943285,4.096453131592438,12.289359394777314,24.578718789554628,成熟工业化国家
South Africa,ZAF,44541557.0,8741.0,worldsteel-SSY2003,176.068,EIA-IEA2005,196.2437011350995,3952.8928007613204,1.4788324530280788,1.9717766040374385,5.915329812112315,11.83065962422463,工业化中期国家
Democratic Republic of Congo,COD,44433718.0,30.0,worldsteel-SSY2003,6.114000000000001,EIA-IEA2005,0.6751629472014924,137.59820863966416,0.03608745952791977,0.04811661270389303,0.1443498381116791,0.2886996762233582,准备工业化国家
Myanmar,MMR,42605343.0,25.0,worldsteel-SSY2003,3.894,EIA-IEA2005,0.5867808645502514,91.39698746234716,0.02431619902696242,0.03242159870261656,0.09726479610784967,0.19452959221569935,准备工业化国家
Spain,ESP,40052733.0,13802.0,worldsteel-SSY2003,157.41675,EIA-IEA2005,344.5957108594812,3930.2374197536033,1.844048632087104,2.4587315094494717,7.376194528348416,14.752389056696831,工业化中后期国家
Poland,POL,38364668.0,11890.0,worldsteel-SSY2003,129.25695,EIA-IEA2005,309.9205758798695,3369.166390283893,1.6170930372706471,2.156124049694196,6.4683721490825885,12.936744298165177,工业化中后期国家
Colombia,COL,35804670.0,714.0,worldsteel-SSY2003,42.611,EIA-IEA2005,19.94153276653576,1190.0961522617022,0.34737786998176495,0.46317049330901994,1.3895114799270598,2.7790229598541196,工业化起步国家
Argentina,ARG,35070016.0,3581.0,worldsteel-SSY2003,64.917,EIA-IEA2005,102.11001899742503,1851.0684454777552,0.7180421588630014,0.9573895451506684,2.8721686354520055,5.744337270904011,工业化中期国家
Tanzania,TZA,30383496.0,0.0,无产量(SSY2003未列),1.808,EIA-IEA2005,0.0,59.505989699144564,0.014876497424786141,0.019835329899714853,0.059505989699144564,0.11901197939828913,准备工业化国家
Canada,CAN,29459138.0,14415.0,worldsteel-SSY2003,544.1680500000001,EIA-IEA2005,489.32185320561655,18471.961060096197,5.841294898038091,7.788393197384121,23.365179592152366,46.73035918430473,成熟工业化国家
Algeria,DZA,28470194.0,827.0,worldsteel-SSY2003,18.09,EIA-IEA2005,29.047922890866147,635.4013604543755,0.23147014734075927,0.30862686312101234,0.9258805893630371,1.8517611787260742,准备工业化国家
Kenya,KEN,26601753.0,20.0,worldsteel-SSY2003,3.894,EIA-IEA2005,0.7518301519452496,146.3813305837401,0.038474908025798144,0.05129987736773086,0.15389963210319257,0.30779926420638515,准备工业化国家
Morocco,MAR,26399431.0,7.0,worldsteel-SSY2003,12.066,EIA-IEA2005,0.2651572300933304,457.05530547230353,0.11492671944330922,0.15323562592441228,0.4597068777732369,0.9194137555464738,准备工业化国家
Sudan,SDN,24672144.0,0.0,无产量(SSY2003未列),1.8,EIA-IEA2005,0.0,72.9567726258407,0.018239193156460175,0.024318924208613566,0.0729567726258407,0.1459135452516814,准备工业化国家
Peru,PER,24348922.0,512.0,worldsteel-SSY2003,16.432,EIA-IEA2005,21.02762496015224,674.8553385648859,0.2212828970416021,0.2950438627221361,0.8851315881664084,1.7702631763328167,准备工业化国家
Uzbekistan,UZB,22917588.0,367.0,worldsteel-SSY2003,44.907,EIA-IEA2005,16.01390163746726,1959.4994028167362,0.5299096047978522,0.7065461397304695,2.119638419191409,4.239276838382818,工业化中期国家
North Korea,PRK,22669307.0,600.0,worldsteel-SSY2003,26.278,EIA-IEA2005,26.467505160170976,1159.1885009982882,0.3559658881499995,0.4746211841999993,1.423863552599998,2.847727105199996,工业化起步国家
Romania,ROU,22657722.0,6555.0,worldsteel-SSY2003,56.548,EIA-IEA2005,289.3053414637182,2495.7495727063824,1.347200746835891,1.7962676624478549,5.388802987343564,10.777605974687129,工业化中期国家
Nepal,NPL,22245443.0,0.0,无产量(SSY2003未列),1.223,EIA-IEA2005,0.0,54.97755203166779,0.013744388007916948,0.0183258506772226,0.05497755203166779,0.10995510406333558,准备工业化国家
