entity,code,pop1990,pop2000,pop2012,pop2024,is_country
United Arab Emirates,ARE,1898220.0,3493583.0,7497122.0,11027135.0,True
United Kingdom,GBR,57367867.0,59057333.0,63960488.0,69138185.0,True
United States,USA,253373387.0,281484126.0,317115349.0,345426566.0,True
United States Virgin Islands,VIR,102318.0,108591.0,104307.0,84919.0,False
Upper-middle-income countries,OWID_UMC,2261820039.0,2555702780.0,2853513937.0,3083525260.0,False
Uruguay,URY,3104404.0,3266212.0,3335406.0,3386583.0,True
Uzbekistan,UZB,20464963.0,24787052.0,29261908.0,36361859.0,True
Vanuatu,VUT,148073.0,186290.0,248894.0,327786.0,True
Vatican,VAT,736.0,701.0,612.0,507.0,False
Venezuela,VEN,19827005.0,24526707.0,29553829.0,28405544.0,True
Vietnam,VNM,65504551.0,77154016.0,89510355.0,100987685.0,True
Wallis and Futuna,WLF,13503.0,14804.0,12709.0,11303.0,False
West Germany,OWID_GFR,63250000.0,,,,False
Western Sahara,ESH,179553.0,271946.0,441033.0,590515.0,True
World,OWID_WRL,5327803106.0,6171702992.0,7201202478.0,8161972574.0,False
Yemen,YEM,13887863.0,19624139.0,28433655.0,40583173.0,True
Yemen Arab Republic,OWID_YAR,9632000.0,,,,False
Yemen People's Republic,OWID_YPR,2681000.0,,,,False
Yugoslavia,OWID_YGS,22720000.0,,,,False
Zambia,ZMB,7786163.0,10017633.0,14913631.0,21314962.0,True
Zimbabwe,ZWE,10137287.0,11892055.0,13817887.0,16634366.0,True
