page,name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
14,Paraguay,77.0,87.0,95.0,96.0,66.0,56.0,56.0,77.0,71.0,80.0
14,Peru,417.0,509.0,512.0,578.0,607.0,631.0,559.0,749.0,690.0,611.0
14,Uruguay,36.0,36.0,40.0,34.0,39.0,52.0,45.0,38.0,31.0,34.0
14,Venezuela,3392.0,3524.0,3568.0,3956.0,3987.0,3553.0,3261.0,3835.0,3813.0,4164.0
14,South America,33798.0,34958.0,34634.0,35870.0,36966.0,36121.0,34594.0,39115.0,37373.0,40858.0
14,Algeria,865.0,807.0,827.0,651.0,399.0,600.0,758.0,842.0,1000.0,1091.0
14,Angola (e),9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,
14,Egypt,2772.0,2622.0,2642.0,2618.0,2717.0,2870.0,2627.0,2838.0,3799.0,4316.0
14,Ghana,19.0,20.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0
14,Kenya,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
14,Libya,920.0,874.0,909.0,863.0,897.0,874.0,966.0,1055.0,846.0,886.0
14,Mauritania,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
14,Morocco,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
14,Nigeria,191.0,58.0,36.0,12.0,15.0,,,,,
14,South Africa,8726.0,8525.0,8741.0,7999.0,8311.0,7956.0,7857.0,8481.0,8821.0,9095.0
14,Tunisia,183.0,184.0,201.0,187.0,195.0,171.0,231.0,229.0,239.0,200.0
14,Uganda (e),30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
14,Zaire (e),30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
14,Zimbabwe,221.0,154.0,220.0,212.0,214.0,212.0,255.0,258.0,149.0,105.0
14,Africa,14000.0,13347.0,13701.0,12667.0,12871.0,12806.0,12818.0,13827.0,14969.0,15807.0
14,Iran,3672.0,4498.0,4696.0,5415.0,6322.0,5602.0,6070.0,6600.0,6916.0,7321.0
14,Israel,120.0,180.0,220.0,265.0,270.0,280.0,280.0,280.0,280.0,280.0
14,Jordan,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,134.0
14,Qatar,620.0,572.0,606.0,616.0,608.0,637.0,629.0,729.0,891.0,1027.0
14,Saudi Arabia,2318.0,2411.0,2451.0,2683.0,2539.0,2356.0,2610.0,2981.0,3413.0,3570.0
14,Syria,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
14,United Arab Emirates,45.0,45.0,60.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
14,Middle East,6874.0,7805.0,8132.0,9169.0,9929.0,9065.0,9779.0,10780.0,11690.0,12492.0
15,Bangladesh,32.0,34.0,36.0,37.0,40.0,40.0,,,,
15,China,89539.0,92613.0,95360.0,101237.0,108911.0,114588.0,123954.0,127236.0,150866.0,181682.0
15,Hong Kong (e),150.0,150.0,150.0,100.0,,,,,,
15,India,18155.0,19282.0,22003.0,23753.0,24415.0,23480.0,24296.0,26924.0,27291.0,28814.0
15,Indonesia,3802.0,3220.0,4130.0,4109.0,3816.0,2699.0,2891.0,2848.0,2781.0,2462.0
15,Japan,99623.0,98295.0,101640.0,98801.0,104545.0,93548.0,94192.0,106444.0,102866.0,107745.0
15,D.P.R. Korea (e),3500.0,1600.0,600.0,600.0,600.0,300.0,300.0,300.0,300.0,300.0
15,South Korea,33026.0,33745.0,36772.0,38903.0,42554.0,39896.0,41042.0,43107.0,43852.0,45390.0
15,Malaysia,1807.0,2046.0,2450.0,3216.0,2962.0,1903.0,2770.0,3650.0,4100.0,4722.0
15,Myanmar (e),25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
15,Pakistan,992.0,1000.0,950.0,900.0,900.0,900.0,900.0,950.0,1100.0,970.0
15,Philippines,623.0,473.0,923.0,920.0,980.0,880.0,530.0,426.0,426.0,400.0
15,Singapore,520.0,530.0,521.0,531.0,383.0,499.0,590.0,603.0,456.0,460.0
15,Sri Lanka (e),30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
15,Chinese Taipei,11970.0,11594.0,11605.0,12350.0,16056.0,16965.0,15438.0,16896.0,17261.0,18230.0
15,Thailand,954.0,1461.0,2134.0,2143.0,2101.0,1814.0,1532.0,2100.0,2127.0,2538.0
15,Viet Nam,270.0,301.0,271.0,311.0,314.0,306.0,308.0,306.0,319.0,409.0
15,Asia,265017.0,266398.0,279599.0,287966.0,308633.0,297873.0,308799.0,331845.0,353799.0,394176.0
15,Australia,7853.0,8424.0,8460.0,8415.0,8831.0,8941.0,8172.0,7129.0,7033.0,7527.0
15,New Zealand,853.0,768.0,842.0,808.0,758.0,756.0,775.0,702.0,826.0,765.0
15,Oceania,8706.0,9192.0,9302.0,9223.0,9589.0,9697.0,8946.0,7832.0,7859.0,8292.0
15,World,727547.0,725107.0,752271.0,750001.0,798932.0,777311.0,788995.0,847426.0,850040.0,902859.0
15,12 - Steel Statistical Yearbook,2003.0,,,,,,,,,
