category,n_all,n,n_used,mean_raw,median,mean_trim,min,max,outliers,ratio,typical
后工业化国家,18,16,16,1937.067708333333,1872.0833333333335,1937.067708333333,829.9166666666666,3419.4166666666665,,1.0,日本1616、法国2131、韩国1749
成熟工业化国家,6,5,5,531.55,367.8333333333333,531.55,251.16666666666666,1066.6666666666667,,0.2744096128975013,中国251、俄罗斯368、土耳其610
工业化中后期国家,3,0,0,,,,,,（该档不纳入分析）,,—
工业化中期国家,21,20,19,314.0638333333334,281.625,330.5482456140351,0.86,973.5833333333334,Venezuela,0.17064361983425,巴西326、泰国311、南非399
工业化起步国家,10,9,7,251.61111111111111,283.75,321.83333333333337,3.6666666666666665,469.8333333333333,Syria、Cuba,0.16614459677831347,印度尼西亚204、菲律宾284、哥伦比亚470
准备工业化国家,38,29,28,85.30459770114945,65.41666666666667,88.31250000000001,1.0833333333333333,327.0,Sudan,0.04559081730601184,阿富汗72、莫桑比克76、加纳68
