ssy_name,code,steel_kt_2010
China,CHN,638743.0
Japan,JPN,109599.0
United States,USA,80495.0
India,IND,68976.0
Russia,RUS,66942.0
South Korea,KOR,58914.0
Germany,DEU,43830.0
Ukraine,UKR,33432.0
Brazil,BRA,32948.0
Turkey,TUR,29143.0
Italy,ITA,25750.0
"Taiwan, China",TWN,19755.0
Mexico,MEX,16870.0
Spain,ESP,16343.0
France,FRA,15414.0
Canada,CAN,13013.0
Iran,IRN,11995.0
United Kingdom,GBR,9709.0
Poland,POL,7993.0
Belgium,BEL,7973.0
South Africa,ZAF,7617.0
Australia,AUS,7296.0
Egypt,EGY,6676.0
Netherlands,NLD,6651.0
Malaysia,MYS,5694.0
Czech Republic,CZE,5180.0
Argentina,ARG,5138.0
Saudi Arabia,SAU,5015.0
Sweden,SWE,4846.0
Viet Nam,VNM,4314.0
Kazakhstan,KAZ,4220.0
Thailand,THA,4145.0
Romania,ROU,3721.0
Indonesia,IDN,3664.0
Venezuela,VEN,2207.0
Greece,GRC,1821.0
Portugal,PRT,1504.0
Colombia,COL,1213.0
Philippines,PHL,1050.0
Chile,CHL,1011.0
Peru,PER,880.0
Pakistan,PAK,800.0
Uzbekistan,UZB,716.0
Algeria,DZA,662.0
United Arab Emirates,ARE,500.0
Morocco,MAR,485.0
Ecuador,ECU,372.0
Israel,ISR,300.0
Cuba,CUB,278.0
Guatemala,GTM,274.0
DPR Korea (e),PRK,250.0
Jordan,JOR,150.0
Tunisia,TUN,150.0
Azerbaijan,AZE,120.0
Nigeria,NGA,100.0
Syria,SYR,70.0
Zaire,COD,30.0
Uganda,UGA,30.0
Sri Lanka,LKA,30.0
Myanmar,MMR,25.0
Ghana,GHA,25.0
Kenya,KEN,20.0
Zimbabwe,ZWE,
