page,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
6,Austria,6189.0,6261.0,6530.0,7031.0,7129.0,7578.0,7594.0,5662.0,7206.0,7474.0
6,Belgium,11343.0,11114.0,11698.0,10420.0,11631.0,10692.0,10673.0,5635.0,7973.0,8026.0
6,Bulgaria,1860.0,2317.0,2106.0,1949.0,2102.0,1909.0,1330.0,726.0,737.0,835.0
6,Czech Republic,6512.0,6783.0,7033.0,6189.0,6862.0,7059.0,6387.0,4594.0,5180.0,5583.0
6,Denmark,392.0,,,,,,,,,
6,Germany,45015.0,44809.0,46374.0,44524.0,47224.0,48550.0,45833.0,32670.0,43830.0,44284.0
6,Finland,4003.0,4766.0,4832.0,4739.0,5054.0,4431.0,4417.0,3066.0,4029.0,3989.0
6,France,20258.0,19758.0,20770.0,19481.0,19852.0,19250.0,17879.0,12840.0,15414.0,15780.0
6,Greece,1835.0,1701.0,1967.0,2266.0,2416.0,2554.0,2477.0,2000.0,1821.0,1934.0
6,Hungary,2053.0,1989.0,1952.0,1958.0,2084.0,2227.0,2097.0,1403.0,1678.0,1746.0
6,Italy,26066.0,27058.0,28604.0,29350.0,31624.0,31553.0,30590.0,19848.0,25750.0,28735.0
6,Latvia,520.0,520.0,662.0,688.0,690.0,696.0,635.0,692.0,655.0,568.0
6,Luxembourg,2719.0,2675.0,2684.0,2194.0,2802.0,2858.0,2582.0,2141.0,2548.0,2521.0
6,Netherlands,6117.0,6571.0,6848.0,6919.0,6372.0,7368.0,6853.0,5194.0,6651.0,6937.0
6,Poland,8368.0,9107.0,10593.0,8336.0,10008.0,10632.0,9728.0,7128.0,7993.0,8801.0
6,Portugal,920.0,1000.0,1250.0,1338.0,1338.0,1847.0,1630.0,1557.0,1504.0,1871.0
6,Romania,5491.0,5691.0,6042.0,6280.0,6266.0,6261.0,5035.0,2761.0,3721.0,3835.0
6,Slovak Republic,4275.0,4588.0,4454.0,4485.0,5093.0,5089.0,4489.0,3747.0,4583.0,4236.0
6,Slovenia,481.0,541.0,566.0,583.0,628.0,638.0,642.0,430.0,606.0,648.0
6,Spain,16408.0,16286.0,17621.0,17826.0,18391.0,18999.0,18640.0,14358.0,16343.0,15504.0
6,Sweden,5754.0,5707.0,5978.0,5723.0,5466.0,5673.0,5198.0,2804.0,4846.0,4867.0
